Clan,Name,Class,ParagonLvl,CombatRating,Status,Resonance,DMG,HP,Image,Contribution
AftershockUnitedGold,KeLP,Monk,116,2798,True,495,4297,58939,image,1055
AftershockUnitedPrime,Ropen,Barbarian,12,2769,True,525,4393,50638,image,1130
AftershockUnitedPrime,Smashmack,Monk,119,4031,True,5372,9715,119902,image,1005
,Kilano,,,,False,,,,,
AftershockUnitedPrime,ShadyZ,Wizard,124,3461,True,2620,6381,76685,image,1215
AftershockUnitedPrime,Karissasunrise,Necromancer,121,3121,True,1490,4831,66659,image,1230
,Gosu,,,,False,,,,,
AftershockUnitedPrime,ilikebigcuts,Crusader,125,3161,True,1160,4994,59965,image,1100
AftershockUnitedGold,FatherGascoigne,Wizard,118,2851,True,650,4499,52429,image,845
AftershockUnitedSilver,Monknoriss,Monk,119,2629,True,450,4056,49755,image,865
AftershockUnitedGold,Entune,Wizard,122,2697,True,405,3922,47351,image,950
AftershockUnitedPrime,Kazuto,Barbarian,118,2933,True,1350,5554,63805,image,840
AftershockUnitedGold,Piffpuffboy,Demon Hunter,122,3053,True,1545,5682,64193,image,840
AftershockUnitedPrime,Emiskowi,Barbarian,125,3077,True,970,4747,58829,image,1070
AftershockUnitedSilver,Nicodemus,Necromancer,118,2615,True,570,4645,49480,image,830
AftershockUnitedPrime,HolyForce,Monk,122,3350,True,2530,6896,82506,image,885
AftershockUnitedPrime,Diabolic,Crusader,119,2851,True,867,4658,56217,image,745
AftershockUnitedPrime,Ixl,Crusader,117,2672,True,890,4044,57304,image,880
AftershockUnitedGold,LightAshX,Crusader,121,3124,True,1760,6146,71010,image,845
,Savage,,,,False,,,,,
AftershockUnitedSilver,OctaviaRozlyn,Necromancer,106,2142,True,300,3318,43385,image,970
AftershockUnitedGold,Vainsoul,Wizard,124,3038,True,1298,5318,66883,image,880
AftershockUnitedGold,PandaPoe,Wizard,12,2806,True,480,4835,50742,image,655
AftershockUnitedPrime,Lazzy,Crusader,121,2929,True,1508,5192,65207,image,1055
AftershockUnitedSilver,Olenna,Demon Hunter,119,2768,True,944,4774,53836,image,905
AftershockUnitedGold,Matikss,Monk,121,2881,True,1025,5335,59266,image,870
AftershockUnitedGold,Xiushimi,Wizard,123,3374,True,2510,7306,75243,image,795
,Amaren,,,,False,,,,,
AftershockUnitedSilver,Katastrofik,Monk,106,1921,True,390,3768,43580,image,680
AftershockUnitedPrime,Dragn,Crusader,111,2468,True,715,4222,56335,image,625
,Skarlet,,,,False,,,,,
